epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,4806.75,0.54181,0.34746,0.96026,0.97304,0.97917,0.98945,0.871,0.52942,0.33534,0.9572,0.000946356,0.000946356,0.000946356
133,4842.79,0.56821,0.36198,0.9882,0.98454,0.96239,0.99064,0.86808,0.57179,0.34815,0.97262,0.000940855,0.000940855,0.000940855
134,4878.91,0.52302,0.34289,0.98082,0.98854,0.98333,0.99147,0.87387,0.53776,0.33566,0.97005,0.000935354,0.000935354,0.000935354
135,4915.81,0.52871,0.34538,0.97472,0.9935,0.97959,0.98915,0.87679,0.53357,0.3461,0.97696,0.000929853,0.000929853,0.000929853
136,4952.42,0.53287,0.3476,0.97279,0.97167,0.98333,0.98914,0.87176,0.52374,0.32065,0.97229,0.000924352,0.000924352,0.000924352
137,4988.14,0.54637,0.35206,0.97636,0.98431,0.96811,0.99262,0.86963,0.56747,0.34222,0.9726,0.00091885,0.00091885,0.00091885
138,5024.11,0.53185,0.34407,0.97332,0.98029,0.97732,0.99224,0.87088,0.54514,0.33145,0.96684,0.000913349,0.000913349,0.000913349
139,5062.96,0.54218,0.34501,0.96164,0.97987,0.97794,0.99214,0.87312,0.5405,0.32811,0.9708,0.000907848,0.000907848,0.000907848
140,5099.55,0.56143,0.35407,0.98838,0.98308,0.97181,0.98959,0.87452,0.52868,0.33003,0.96953,0.000902347,0.000902347,0.000902347
141,5136.01,0.5561,0.35113,0.97081,0.98305,0.975,0.98859,0.87372,0.56547,0.34447,0.97738,0.000896846,0.000896846,0.000896846
142,5172.98,0.5311,0.34789,0.96513,0.97584,0.975,0.99242,0.88126,0.52348,0.3187,0.96435,0.000891345,0.000891345,0.000891345
143,5209.05,0.52885,0.34814,0.98358,0.98722,0.97101,0.99348,0.87659,0.53232,0.32789,0.96811,0.000885844,0.000885844,0.000885844
144,5245.56,0.54171,0.3538,0.97909,0.97583,0.975,0.9911,0.86386,0.53619,0.33527,0.96416,0.000880343,0.000880343,0.000880343
145,5282.03,0.54423,0.34623,0.97081,0.97274,0.975,0.98849,0.86196,0.559,0.3359,0.97059,0.000874842,0.000874842,0.000874842
146,5318.66,0.51186,0.33752,0.95762,0.97727,0.97724,0.98866,0.87127,0.52914,0.32882,0.94838,0.00086934,0.00086934,0.00086934
147,5355.58,0.51306,0.33244,0.97093,0.96597,0.97863,0.98742,0.87856,0.49478,0.34051,0.94951,0.000863839,0.000863839,0.000863839
148,5390.8,0.51807,0.35076,0.97353,0.98446,0.98117,0.9842,0.86799,0.52085,0.32506,0.96553,0.000858338,0.000858338,0.000858338
149,5425.87,0.5209,0.34539,0.96274,0.98267,0.97917,0.98443,0.87334,0.53938,0.34443,0.96638,0.000852837,0.000852837,0.000852837
150,5460.77,0.52051,0.34153,0.95932,0.98362,0.96896,0.98928,0.87407,0.53387,0.34117,0.96267,0.000847336,0.000847336,0.000847336
